cluster,gene,score,avg_log2FC,p_val,p_val_adj,pct.1,pct.2
9,PLXDC2,5.3745975,4.536,7.67538918113021e-08,9.328521812856492e-05,0.588,0.088
9,CAMK1D,4.843217,4.276,1.277535897995713e-06,0.0009735667331725072,0.529,0.055
9,HLA-B,3.7026737,4.121,0.00021333921329680692,0.05854899721477853,0.412,0.059
9,SAMHD1,4.272381,4.044,1.9339683932561558e-05,0.008226779216846144,0.471,0.058
9,CELF2,4.2288613,3.94,2.348771668938251e-05,0.009280735805243051,0.471,0.061
9,LDLRAD4,4.114615,3.654,3.878262266569462e-05,0.013376336193196269,0.471,0.068
9,B2M,6.1954885,3.594,5.81045114846675e-10,2.966002893246337e-06,0.735,0.209
9,FYB1,3.5663006,3.526,0.0003620559429865761,0.08800717936044174,0.412,0.074
9,ABR,3.5872421,3.503,0.0003341940490345477,0.08387757513785389,0.412,0.068
9,ZSWIM6,4.5257096,3.423,6.019319866117287e-06,0.003572816300997942,0.529,0.103
9,DPYD,5.031915,3.212,4.856038093716971e-07,0.00047669484717668563,0.618,0.187
9,ZEB2,4.5372243,3.183,5.699941794482466e-06,0.003572816300997942,0.559,0.104
9,LRMDA,4.3545094,3.157,1.3336518318295374e-05,0.006181326755163959,0.559,0.145
9,DOCK4,3.8467798,3.142,0.00011968046340726726,0.03593652314757274,0.471,0.096
9,CTSD,3.9505272,2.938,7.797926994243086e-05,0.024878311334258284,0.5,0.14
9,GPCPD1,3.9987319,2.895,6.368279670524409e-05,0.021108779484518763,0.5,0.124
9,FNBP1,4.4673448,2.75,7.919648972456798e-06,0.00443540600832104,0.588,0.177
9,ACTB,3.731969,2.69,0.00018998885602418742,0.05387872858117039,0.5,0.166
9,MBNL1,5.132671,2.664,2.8565896931791677e-07,0.00029163495495604754,0.706,0.289
9,ATXN1,3.569123,2.586,0.00035817828176160955,0.087901771975015,0.471,0.128
9,DLEU2,4.401698,2.482,1.0740689282012788e-05,0.0051723511800908,0.618,0.223
9,CYRIB,3.5392632,2.403,0.00040124564556127793,0.0941954449338448,0.5,0.19
9,FOXN3,4.7290835,2.395,2.255353924934775e-06,0.0015557675196246018,0.676,0.333
9,RNF213,4.327246,2.238,1.5098515606596213e-05,0.0066441278246061235,0.647,0.264
9,EIF4G3,3.5864518,2.06,0.00033520795612040503,0.08387757513785389,0.559,0.227
9,LYN,3.7074716,2.03,0.0002093389066691222,0.05807561864039137,0.588,0.254
9,ANKRD11,4.438783,1.907,9.04689430113107e-06,0.004618077664955366,0.706,0.396
9,DOCK8,3.7321384,1.783,0.00018986114829630003,0.05387872858117039,0.647,0.358
9,MALAT1,5.41998,0.804,5.960569540992361e-08,8.451756466374891e-05,1.0,1.0
